tarefa,versao,N,threads,rep,tempo
D,organized,100000,16,3,-0.00000002
D,naive,100000,16,4,0.00000005
D,organized,100000,16,4,-0.00000012
D,naive,100000,16,5,0.00000008
D,organized,100000,16,5,0.00100001
D,naive,500000,2,1,-0.00000006
D,organized,500000,2,1,0.00000001
D,naive,500000,2,2,0.00000008
D,organized,500000,2,2,-0.00000011
D,naive,500000,2,3,0.00099991
D,organized,500000,2,3,0.00200007
D,naive,500000,2,4,0.00099997
D,organized,500000,2,4,0.00000002
D,naive,500000,2,5,0.00099994
D,organized,500000,2,5,0.00099999
D,naive,500000,4,1,0.00199994
D,organized,500000,4,1,0.00000008
D,naive,500000,4,2,-0.00000007
D,organized,500000,4,2,0.00100001
D,naive,500000,4,3,0.00000003
D,organized,500000,4,3,-0.00000011
D,naive,500000,4,4,0.00099989
D,organized,500000,4,4,-0.00000001
D,naive,500000,4,5,0.00199990
D,organized,500000,4,5,0.00099992
D,naive,500000,8,1,-0.00000011
D,organized,500000,8,1,0.00099992
D,naive,500000,8,2,0.00000006
D,organized,500000,8,2,-0.00000001
D,naive,500000,8,3,0.00000006
D,organized,500000,8,3,-0.00000002
D,naive,500000,8,4,0.00000005
D,organized,500000,8,4,0.00000002
D,naive,500000,8,5,-0.00000011
D,organized,500000,8,5,-0.00000012
D,naive,500000,16,1,0.00000006
D,organized,500000,16,1,0.00099998
D,naive,500000,16,2,-0.00000012
D,organized,500000,16,2,0.00200004
D,naive,500000,16,3,0.00000011
D,organized,500000,16,3,0.00000011
D,naive,500000,16,4,0.00000001
D,organized,500000,16,4,0.00199991
D,naive,500000,16,5,0.00099991
D,organized,500000,16,5,-0.00000008
D,naive,1000000,2,1,0.00099991
D,organized,1000000,2,1,0.00100006
D,naive,1000000,2,2,-0.00000011
D,organized,1000000,2,2,0.00000003
D,naive,1000000,2,3,0.00100003
D,organized,1000000,2,3,0.00000005
D,naive,1000000,2,4,0.00100003
D,organized,1000000,2,4,-0.00000005
D,naive,1000000,2,5,0.00000002
D,organized,1000000,2,5,0.00000003
D,naive,1000000,4,1,-0.00000007
D,organized,1000000,4,1,0.00100002
D,naive,1000000,4,2,0.00100002
D,organized,1000000,4,2,0.00100006
D,naive,1000000,4,3,0.00100001
D,organized,1000000,4,3,0.00099998
D,naive,1000000,4,4,0.00200007
D,organized,1000000,4,4,0.00099995
D,naive,1000000,4,5,0.00100010
D,organized,1000000,4,5,-0.00000005
D,naive,1000000,8,1,0.00099994
D,organized,1000000,8,1,0.00099999
D,naive,1000000,8,2,0.00099994
D,organized,1000000,8,2,0.00000004
D,naive,1000000,8,3,0.00099994
D,organized,1000000,8,3,0.00099994
D,naive,1000000,8,4,0.00100000
D,organized,1000000,8,4,0.00100001
D,naive,1000000,8,5,0.00100001
D,organized,1000000,8,5,0.00100000
D,naive,1000000,16,1,0.00100007
D,organized,1000000,16,1,0.00099998
D,naive,1000000,16,2,0.00000006
D,organized,1000000,16,2,0.00099999
D,naive,1000000,16,3,0.00200006
D,organized,1000000,16,3,0.00099997
D,naive,1000000,16,4,0.00099999
D,organized,1000000,16,4,0.00100011
D,naive,1000000,16,5,0.00000010
D,organized,1000000,16,5,-0.00000004
